Driver,LapTime,LapTimeDelta,Compound,Color
LECLERC,01:30.6,0,HARD,#d40000
VERSTAPPEN,,0.123,WET,#ffff00
SAINZ,,0.129,MEDIUM,#d40000
PEREZ,,0.363,INTERMEDIATE,#ffff00
HAMILTON,,0.68,SOFT,#26fae4
BOTTAS,,1.002,SOFT,#800000
MAGNUSSEN,,1.25,SOFT,#ffffff
ALONSO,,1.637,SOFT,#ff0783
RUSSELL,,1.658,SOFT,#26fae4
GASLY,,1.78,SOFT,#5090a0
OCON,,1.224,SOFT,#ff0783
SCHUMACHER,,1.44,SOFT,#ffffff
NORRIS,,1.45,SOFT,#ff7518
ALBON,,2.106,SOFT,#00009c
ZHOU,,2.985,SOFT,#800000
TSUNODA,,2.192,SOFT,#5090a0
HULKENBERG,,2.219,SOFT,#00ff00
RICCIARDO,,2.387,SOFT,#ff7518
STROLL,,2.474,SOFT,#00ff00
LATIFI,,3.076,SOFT,#00009c
