driverno,driver,fp1,fp2,fp3,start,race,color
10,Gasly,1,13,13,10,20,#dcbeff
16,Leclerc,2,2,2,1,1,#e6194b
55,Sainz,3,3,5,3,2,#e6194b
63,Russell,4,4,4,9,4,#00c0bf
1,Verstappen,5,1,1,2,19,#ffe119
18,Stroll,6,16,10,19,12,#3cb44b
44,Hamilton,7,9,6,5,3,#00c0bf
14,Alonso,8,5,16,8,9,#f032e6
22,Tsunoda,9,14,20,16,8,#dcbeff
11,Perez,10,7,3,4,18,#ffe119
24,Guanyu,11,15,9,15,10,#800000
31,Ocon,12,12,18,11,7,#f032e6
6,Latifi,13,19,19,20,16,#000075
27,Hulkenberg,14,17,12,17,17,#3cb44b
23,Albon,15,20,17,14,13,#000075
4,Norris,16,11,11,13,15,#f58231
3,Ricciardo,17,18,15,18,14,#f58231
47,Schumacher,18,8,14,12,11,#fffac8
20,Magnussen,19,10,7,7,5,#fffac8
77,Bottas,20,6,8,6,6,#800000
